"arc_length","f_1578","f_1705","f_1834","f_1978","f_1889","f_1881"
0.442649,0.300662,0.300761,0.300767,0.300773,0.298882,0.300967
0.444063,0.302633,0.302748,0.302754,0.302762,0.299856,0.303008
0.445477,0.304604,0.304735,0.304741,0.304751,0.300829,0.30505
0.446892,0.306575,0.306722,0.306728,0.30674,0.301803,0.307091
0.448306,0.308546,0.308709,0.308715,0.308729,0.302776,0.309133
0.44972,0.310517,0.310697,0.310702,0.310717,0.30375,0.311174
0.451134,0.312488,0.312684,0.312688,0.312706,0.304723,0.313216
0.452548,0.314459,0.314671,0.314675,0.314695,0.305697,0.315258
0.453963,0.31643,0.316658,0.316662,0.316684,0.306671,0.317299
0.455377,0.318401,0.318645,0.318649,0.318672,0.307644,0.319341
0.456791,0.320372,0.320633,0.320636,0.320661,0.308618,0.321382
0.458205,0.322343,0.32262,0.322623,0.32265,0.309591,0.323424
0.459619,0.324314,0.324607,0.32461,0.324639,0.310565,0.325465
0.461034,0.324091,0.324367,0.324372,0.324399,0.311539,0.32515
0.462448,0.323868,0.324128,0.324134,0.324159,0.312513,0.324835
0.463862,0.323644,0.323888,0.323896,0.323919,0.313487,0.324519
0.465276,0.323421,0.323648,0.323658,0.323679,0.314462,0.324204
0.46669,0.323198,0.323409,0.32342,0.323439,0.315436,0.323889
0.468105,0.322975,0.323169,0.323182,0.323199,0.31641,0.323573
0.469519,0.322751,0.322929,0.322944,0.322959,0.317384,0.323258
0.470933,0.322528,0.32269,0.322706,0.322719,0.318359,0.322943
0.472347,0.322305,0.32245,0.322468,0.322479,0.319333,0.322627
0.473762,0.322082,0.32221,0.32223,0.322239,0.320307,0.322312
0.475176,0.321858,0.321971,0.321992,0.321999,0.321281,0.321997
0.47659,0.321635,0.321731,0.321754,0.321759,0.322256,0.321681
0.478004,0.321412,0.321491,0.321516,0.321519,0.32323,0.321366
0.479418,0.321188,0.321252,0.321278,0.321279,0.324204,0.321051
0.480833,0.320965,0.321012,0.32104,0.321039,0.325179,0.320735
0.482247,0.320742,0.320772,0.320802,0.320799,0.326153,0.32042
0.483661,0.320519,0.320533,0.320564,0.320559,0.327127,0.320105
0.485075,0.320295,0.320293,0.320326,0.320319,0.328101,0.31979
0.486489,0.320072,0.320053,0.320088,0.320079,0.329076,0.319474
0.487904,0.319849,0.319814,0.31985,0.319839,0.33005,0.319159
0.489318,0.319626,0.319574,0.319612,0.3196,0.331024,0.318844
0.490732,0.319402,0.319334,0.319374,0.31936,0.331998,0.318528
0.492146,0.319179,0.319094,0.319136,0.31912,0.332973,0.318213
0.493561,0.318956,0.318855,0.318898,0.31888,0.333947,0.317898
0.494975,0.318732,0.318615,0.31866,0.31864,0.334921,0.317582
0.496389,0.321141,0.321042,0.321083,0.321065,0.335896,0.320116
0.497803,0.323549,0.323469,0.323505,0.32349,0.336871,0.322651
0.499217,0.325958,0.325895,0.325928,0.325915,0.337846,0.325185
0.500632,0.328366,0.328322,0.32835,0.32834,0.338821,0.327719
0.502046,0.330775,0.330749,0.330772,0.330765,0.339796,0.330253
0.50346,0.333183,0.333176,0.333195,0.33319,0.340771,0.332787
0.504874,0.335591,0.335602,0.335617,0.335615,0.341746,0.335322
0.506288,0.338,0.338029,0.33804,0.338041,0.34272,0.337856
0.507703,0.340408,0.340456,0.340462,0.340466,0.343695,0.34039
0.509117,0.342817,0.342883,0.342885,0.342891,0.34467,0.342924
0.510531,0.345225,0.345309,0.345307,0.345316,0.345645,0.345458
0.511945,0.347633,0.347736,0.34773,0.347741,0.34662,0.347992
0.51336,0.350042,0.350163,0.350152,0.350166,0.347595,0.350527
0.514774,0.35245,0.35259,0.352575,0.352591,0.34857,0.353061
0.516188,0.354859,0.355017,0.354997,0.355016,0.349545,0.355595
0.517602,0.357267,0.357443,0.357419,0.357441,0.35052,0.358129
0.519016,0.359676,0.35987,0.359842,0.359867,0.351495,0.360663
0.520431,0.362084,0.362297,0.362264,0.362292,0.352469,0.363198
0.521845,0.364492,0.364724,0.364687,0.364717,0.353444,0.365732
0.523259,0.366901,0.36715,0.367109,0.367142,0.354419,0.368266
0.524673,0.369309,0.369577,0.369532,0.369567,0.355394,0.3708
0.526087,0.371718,0.372004,0.371954,0.371992,0.356369,0.373334
0.527502,0.374126,0.374431,0.374377,0.374417,0.357344,0.375869
